Account name,Customer ID,Month,Currency code,Clicks,Impr.,CTR,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Search impr. share,Search lost IS (budget)
207Prime.com,795-116-0021,Jan-24,USD,782,"5,047",15.49%,1.27,995,55,18.09,7.03%,11.06%,13.34%
305RealtyPro.com,735-614-3033,Jan-24,USD,366,"3,095",11.83%,0.81,296.56,37,8.02,10.11%,< 10%,11.51%
386RealEstate.com,252-922-7156,Jan-24,USD,"3,739","22,822",16.38%,0.8,2999.87,353,8.5,9.44%,15.32%,6.60%
703realtor.com,792-876-4888,Jan-24,USD,177,"1,281",13.82%,1.41,249.48,13,19.19,7.34%,< 10%,7.81%
85086RealEstate.com,650-521-0360,Jan-24,USD,583,"5,122",11.38%,0.86,499.56,42,11.89,7.20%,< 10%,5.66%
877CallNick.com,187-634-1182,Jan-24,USD,253,"3,945",6.41%,0.99,249.66,27,9.25,10.67%,12.14%,8.99%
901HomeSales.com (DO NOT USE),612-363-9948,Jan-24,USD,638,"6,399",9.97%,0.78,495.54,85,5.83,13.32%,< 10%,5.25%
904HomeGuide.com,831-449-7986,Jan-24,USD,891,"6,136",14.52%,1.02,911.09,105,8.68,11.78%,< 10%,9.07%
97Park.com,684-668-1739,Jan-24,USD,191,"1,309",14.59%,1.32,251.41,15,16.76,7.85%,< 10%,20.80%
AffinityRealEstate.ca,389-282-3346,Jan-24,USD,"1,754","20,934",8.38%,1.13,1989.96,133,14.96,7.58%,< 10%,13.73%
AguiarHomes.com,263-151-5962,Jan-24,USD,174,"1,976",8.81%,0.99,172.51,19,9.08,10.92%,< 10%,15.60%
AlchemyRealEstate.com,589-758-0601,Jan-24,USD,"1,018","8,104",12.56%,1.18,1199.66,65,18.46,6.39%,< 10%,6.58%
"AlexCowie.com (DO NOT USE, USD)",675-808-8729,Jan-24,USD,323,"2,234",14.46%,0.77,249.67,33,7.57,10.22%,< 10%,10.68%
AlfredRobbins.com,872-530-0013,Jan-24,USD,"7,105","28,545",24.89%,1.55,10999.64,606,18.15,8.53%,12.89%,11.82%
AliciaAndCompany.com,483-306-2466,Jan-24,USD,245,"1,183",20.71%,1.22,299.72,30,9.99,12.24%,< 10%,8.93%
