HubSpot Link,Account Domain,Ticket ID,Cancellation Request Date,Cancellation Scheduled Date,Cancellation Status,Is client staying with Sierra?,Current Contract Term Fulfilled?,Churn Reason H2,New Provider,Sales Deal Owner,Outstanding Balance in Sierra? (overdue invoices only),Outstanding Balance in Google Ads?,CSM Assigned,Early Termination Fee (if paid),Early Termination Type,Ticket - Distinct count,Ticket Service Level,Pipeline,Site_DB,Account_Type,Site_Type,Site_Start_Date,Site_End_Date,Length of Service,Total_Leads,Active_Site_Users,Cancellation Reason Details,Leave any other comments here that you want to bring to our attention. ,Row Number,SiteID in HubSpot,SiteID in CAA,Company ID,OldID,Lifecycle Stage,Delayed Billing,ICP?,"What was your biggest goal with using Sierra, and where did we fall short?",Site_Status
https://app.hubspot.com/contacts/21458556/ticket/2276322157,,2276322157,,,Pending,,,,,,,,,,,,,Billing,,,,,,,,,,,1283,,,,1,,,No,,
https://app.hubspot.com/contacts/21458556/ticket/2203272111,metrovancouverlisting.ca,2203272111,,2023-12-28,Cancelled Final,,Yes,,,Tasha Stevens,,,,,,29,Low Touch,Billing,11,Full Account,Pro Site,2022-05-10,2023-12-28,1.6356164383561644,1586,3,,,1215,,11-4113,8618838864,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2044581508,coloradohomesforsale.net,2044581508,,2023-11-26,Cancelled Final,Yes - client is keeping separate Sierra site(s) active,Yes,,,Ryan Anderson,,,,,,28,High Touch,Billing,3,Full Account,Pro Site,2022-05-09,2023-11-26,1.5506849315068494,941,2,,,1081,,3-4111,8618936355,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1588803449,jeanaboisells.com,1588803449,,2023-07-18,Cancelled Final,,Yes,,,Tasha Stevens,,,,,,36,Low Touch,Billing,10,Full Account,Ace Site,2022-05-09,2023-07-18,1.1917808219178083,607,1,,,593,,10-4110,8621191169,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2892815979,findyourtularehome.com,2892815979,2024-06-28,2024-07-01,Cancelled Final,,Yes,,Lofty (formerly Chime),,,,Ryan Anderson,,,18,Low Touch,Billing,4,Full Account,Pro Site,2020-06-08,2024-07-01,4.065753424657534,1346,12, Client moved to Lofty. Receiving free/cheaper platform through brokerage. No recent issues. The client had a past due billing in 2023 and provided a new credit card. No other tickets in 2023. Cancelled Google Ads in 2022.,"No, thank you for the service.",1654,4-2192,4-2192,8638986116,1,Lost Customer,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1639631192,maurorealestate.com,1639631192,,2023-05-25,Cancelled Final,,Yes,,,Ryan Anderson,,,,,,25,Low Touch,Billing,2,Full Account,Pro Site,2022-05-13,2023-05-26,1.0328767123287672,374,1,,,677,,2-4119,8639346092,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/3011531914,tonerhomegroup.com,3011531914,2024-07-22,2024-08-09,Cancelled Final,,Yes,I wasn’t using it enough,,Tasha Stevens,,,Ryan Anderson,,,24,Low Touch,Billing,2,Full Account,Pro Site,2022-05-10,2024-08-09,2.252054794520548,7,1,Client since 2022 - Answer to survey indicated they weren't using their website very much,,1716,2-4114,2-4114,8640310805,1,Lost Customer,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1288394862,campfirewi.com,1288394862,,2023-01-24,Cancelled Final,,No,,,James Finnerty,999.9,,,,Past Due Billing / Forced Cancellations,17,Low Touch,Billing,11,Full Account,Ace Site,2022-05-13,2023-01-24,0.7013698630136986,193,1,,,173,,11-4123,8649596172,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1931107479,volusiacorealestate.com,1931107479,,2023-11-15,Short Term Reactivation,,Yes,,,James Finnerty,799.9,,Melinie Weaver,,,32,Low Touch,Billing,2,Full Account,Pro Site,2022-05-12,,1.5123287671232877,1927,1,,,1007,2-4116,2-4116,8649884960,1,Customer,,No,,Active
https://app.hubspot.com/contacts/21458556/ticket/1617407499,distinctivelouisvillerealestate.com,1617407499,,2023-05-12,Cancelled Final,,Yes,,,James Finnerty,,,,,,36,Low Touch,Billing,1,Full Account,Ace Site,2022-05-17,2023-05-12,0.9863013698630136,33,2,,,512,,1-4132,8652410232,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2386883935,jonesborohomesearch.com,2386883935,2024-02-20,2024-02-26,Cancelled Final,,Yes,,,Gates Hoham,45.0,,,,,35,Low Touch,Billing,16,Full Account,Ace Site,2020-02-06,2024-02-27,4.057534246575343,16933,12,,,1347,,16-1889,8656665415,1,,,Yes,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1654702944,srghomesgulfcoast.com,1654702944,,2023-06-16,Cancelled Final,,Yes,,,Ryan Anderson,,,,,,38,Low Touch,Billing,2,Full Account,Pro Site,2022-05-20,2023-06-16,1.073972602739726,495,2,,,695,,2-4150,8676925700,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2201313586,goatrealestate.ca,2201313586,,2023-12-21,Cancelled Final,,Yes,,,James Finnerty,,,,,,16,Low Touch,Billing,11,Full Account,Pro Site,2022-05-13,2023-12-21,1.6082191780821917,3,1,,,1212,,11-4125,8678572038,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2288661282,sarasellsutah.com,2288661282,2024-01-23,2024-02-26,Cancelled Final,,Yes,,,Rick Dierbeck,,,,,,20,Low Touch,Billing,3,Full Account,Pro Site,2022-05-13,2024-02-26,1.7917808219178082,2695,2,,,1295,,3-4127,8681496154,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1353055013,guaranteedsoldbyvicky.com,1353055013,,2023-06-23,Cancelled Final,,Yes,,,Tasha Stevens,,,,,,20,Low Touch,Billing,4,Full Account,Pro Site,2022-04-15,2023-06-23,1.189041095890411,2,1,,,248,,4-4055,8689972482,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1125995802,aweighrealestate.com,1125995802,,,Pending,,,,,,,,Blair Ackiss,,,118,Growth,Billing,,,,,,,,,,,24,10-2941,,8691723641,1,Customer,Yes,No,,
https://app.hubspot.com/contacts/21458556/ticket/1693830970,mammothlakesmls.com,1693830970,,2023-06-15,Cancelled Final,,Yes,,,,,,,,,3,,Billing,1,Full Account,Legacy Stealth Site,2008-01-14,2023-06-15,15.427397260273972,7349,1,,,759,,1-190,8691755082,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1693836576,metrolouisvillemls.net,1693836576,,2023-06-15,Cancelled Final,,Yes,,,,,,,,,6,,Billing,1,Full Account,Legacy Stealth Site,2009-12-02,2023-06-15,13.542465753424658,1187,1,,,757,,1-240,8691755138,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/2227347756,mnolanandassociates.com,2227347756,2024-01-05,2024-01-18,Cancelled Final,,Yes,,Luxury Presence,,,,,,,27,Low Touch,Billing,13,Full Account,Pro Site,2020-10-23,2024-01-18,3.2383561643835614,1407,3,,,1238,,13-2615,8691755181,1,,,No,,Delete
https://app.hubspot.com/contacts/21458556/ticket/1586145458,madeleinemickeybrown.com,1586145458,,2023-05-21,Cancelled Final,,Yes,,,,,,,,,10,,Billing,1,Full Account,IDX Search Tools Only,2014-06-16,2023-05-26,8.934246575342465,0,1,,,588,,1-477,8691762735,1,,,No,,Delete
